Course_Number,Course_Title,Credit_Hours
AVIATN 2000,Introduction to the Aviation Industry,3.00
AVIATN 2100,Private Pilot Fundamentals,5.00
AVIATN 2101,Private Pilot Flight Lab I,2.00
AVIATN 2102,Private Pilot Flight Lab II,2.00
AVIATN 2150,Introduction to Flight Operations,3.00
AVIATN 2200,Aviation Organization Analysis and Writing,3.00
AVIATN 2300,Aircraft Performance and Weather,3.00
AVIATN 2400,Fundamentals in Uncrewed Aircraft Systems,3.00
AVIATN 2401,UAS Ground and Flight Operations,3.00
AVIATN 2501,Commercial Cross Country Flight Lab,2.00
AVIATN 2850,Applied Aircraft Performance I,3.00
AVIATN 2900,Air Traffic Control Fundamentals,3.00
AVIATN 3000,Aviation Management and Marketing,3.00
AVIATN 3100,Instrument Flight Fundamentals,3.00
AVIATN 3101,Instrument Flight Lab,3.00
AVIATN 3193,Individual Studies in Aviation,2.00 - 5.00
AVIATN 3194,Group Studies in Aviation,2.00 - 5.00
AVIATN 3200,Aviation Regulations and Policy,3.00
AVIATN 3300,Aviation Human Factors and Safety,3.00
AVIATN 3340.01,Aviation Human Factors Transition,2.00
AVIATN 3400,Aviation Accident Investigation,3.00
AVIATN 3600,Business and Corporate Aviation Management,3.00
AVIATN 3700,Building a Diverse Workforce in Aviation,3.00
AVIATN 3800,Advanced Uncrewed Aviation Operations Beyond Visual Line of Sight,3.00
AVIATN 3850,Applied Aircraft Performance II,3.00
AVIATN 3900,Air Traffic Management Systems and Environment,3.00
AVIATN 4000,Air Transportation Analysis I,3.00
AVIATN 4100,Commercial Flight Fundamentals,3.00
AVIATN 4101,Commercial Flight Lab,2.00
AVIATN 4102,Commercial Pilot ASEL Flight Laboratory,2.00
AVIATN 4200,Aircraft Dispatch Fundamentals,3.00
AVIATN 4201,Applied Dispatching,3.00
AVIATN 4300,Advanced Multi-Engine Operations,2.00
AVIATN 4301,Commercial Multi Engine Flight Lab,2.00
AVIATN 4400,Airport Management,3.00
AVIATN 4500,Aviation Capstone,3.00
AVIATN 4520,Aviation Capstone: Aviation Engineering,3.00
AVIATN 4800,Professional Practices in Industry,2.00 - 5.00
AVIATN 4999H,Aviation Engineering Research for Honors Thesis,1.00 - 3.00
AVIATN 5000,Air Transportation Analysis II,3.00
AVIATN 5100,Flight Instructor Methodology,2.00
AVIATN 5101,Flight Instructor ASE Flight Lab,2.00
AVIATN 5102,Flight Instructor AME Lab,1.00
AVIATN 5193,Individual Studies in Aviation,2.00 - 5.00
AVIATN 5194,Group Studies in Aviation,2.00 - 5.00
AVIATN 5200,Instrument Flight Instructor Methodology,2.00
AVIATN 5201,Flight Instructor Instrument Flight Lab,1.00
AVIATN 5300,"Airport Planning, Design, and Development",3.00
AVIATN 5400,Access and Retention in Aviation and STEM Workforces,3.00
AVIATN 5998H,Honors Research in Aviation,1.00 - 6.00
